,movieId,title,genres,release_date,vote_average,vote_count,keywords
0.0,862,Toy Story,"Animation, Comedy, Family",1995,7.5,5400.0,"jealousy, toy, boy, friendship, friends"
1.0,8844,Jumanji,"Adventure, Fantasy, Family",1995,7.0,2400.0,"board game, disappearance, ""based on childrens book"", new home, recluse"
2.0,15602,Grumpier Old Men,"Romance, Comedy",1995,6.5,100.0,"fishing, best friend, duringcreditsstinger, old men"
3.0,31357,Waiting to Exhale,"Comedy, Drama, Romance",1995,6.0,0.0,"based on novel, interracial relationship, single mother, divorce, chick flick"
4.0,11862,Father of the Bride Part II,Comedy,1995,5.5,200.0,"baby, midlife crisis, confidence, aging, daughter"
5.0,949,Heat,"Action, Crime, Drama, Thriller",1995,7.5,1900.0,"robbery, detective, bank, obsession, chase"
6.0,11860,Sabrina,"Comedy, Romance",1995,6.0,100.0,"paris, brother brother relationship, chauffeur, long island, fusion"
7.0,45325,Tom and Huck,"Action, Adventure, Drama, Family",1995,5.5,0.0,[]
8.0,9091,Sudden Death,"Action, Adventure, Thriller",1995,5.5,200.0,"terrorist, hostage, explosive, vice president"
9.0,710,GoldenEye,"Adventure, Action, Thriller",1995,6.5,1200.0,"cuba, falsely accused, secret identity, computer virus, secret base"
10.0,9087,The American President,"Comedy, Drama, Romance",1995,6.5,200.0,"white house, usa president, new love, widower, wildlife conservation"
11.0,12110,Dracula: Dead and Loving It,"Comedy, Horror",1995,5.5,200.0,"dracula, spoof"
12.0,21032,Balto,"Family, Animation, Adventure",1995,7.0,400.0,"wolf, dog-sledding race, alaska, dog, goose"
13.0,10858,Nixon,"History, Drama",1995,7.0,100.0,"usa president, presidential election, watergate scandal, biography, government"
14.0,1408,Cutthroat Island,"Action, Adventure",1995,5.5,100.0,"exotic island, treasure, map, ship, scalp"
15.0,524,Casino,"Drama, Crime",1995,8.0,1300.0,"poker, drug abuse, 1970s, overdose, illegal prostitution"
16.0,4584,Sense and Sensibility,"Drama, Romance",1995,7.0,400.0,"bowling, based on novel, servant, country life, jane austen"
17.0,5,Four Rooms,"Crime, Comedy",1995,6.5,500.0,"hotel, ""new years eve"", witch, bet, hotel room"
18.0,9273,Ace Ventura: When Nature Calls,"Crime, Comedy, Adventure",1995,6.0,1100.0,"africa, indigenous, human animal relationship, bat"
19.0,11517,Money Train,"Action, Comedy, Crime",1995,5.5,200.0,"brother brother relationship, subway, new york city, new york subway, train robbery"
20.0,8012,Get Shorty,"Comedy, Thriller, Crime",1995,6.5,300.0,"gambling, miami, based on novel, job, murder"
21.0,1710,Copycat,"Drama, Thriller",1995,6.5,200.0,"police brutality, psychology, police operation, police protection, serial killer"
22.0,9691,Assassins,"Action, Adventure, Crime, Thriller",1995,6.0,400.0,"competition, assassination, cia, bank, cat"
23.0,12665,Powder,"Drama, Fantasy, Science Fiction, Thriller",1995,6.5,100.0,"dead animal, shot to death, teenage boy, held at gunpoint, teacher student relationship"
24.0,451,Leaving Las Vegas,"Drama, Romance",1995,7.0,400.0,"individual, prostitute, alcohol, casino, love at first sight"
25.0,16420,Othello,Drama,1995,7.0,0.0,"shakespeare, jealousy, friends, moor"
26.0,9263,Now and Then,"Comedy, Drama, Family",1995,6.5,100.0,"1970s, female friendship, coming of age, gynecologist, photocopier"
27.0,17015,Persuasion,"Drama, Romance",1995,7.5,0.0,"captain, napoleonic wars, old flame, admiral"
28.0,902,The City of Lost Children,"Fantasy, Science Fiction, Adventure",1995,7.5,300.0,"clone, dream, island, eye, dystopia"
29.0,37557,Shanghai Triad,"Drama, Crime",1995,6.5,0.0,"servant, cabaret, shanghai, diva, uncle"
30.0,9909,Dangerous Minds,"Drama, Crime",1995,6.5,200.0,"rap music, karate, high school, naval officer, teacher"
31.0,63,Twelve Monkeys,"Science Fiction, Thriller, Mystery",1995,7.5,2500.0,"schizophrenia, philadelphia, cassandra syndrom, stockholm syndrome, time travel"
32.0,78802,Wings of Courage,"Romance, Adventure",1996,7.0,0.0,[]
33.0,9598,Babe,"Fantasy, Drama, Comedy, Family",1995,6.0,800.0,"sheep, pig, affection, piglet, heroism"
34.0,47018,Carrington,"History, Drama, Romance",1995,6.5,0.0,"england, painter, conscientious objector, independent film, soldier"
35.0,687,Dead Man Walking,Drama,1995,7.5,400.0,"prison, rape, socially deprived family, penalty, death penalty"
36.0,139405,Across the Sea of Time,"Adventure, History, Drama, Family",1995,3.5,0.0,[]
37.0,33689,It Takes Two,"Comedy, Family, Romance",1995,6.0,200.0,"orphan, identical twin"
38.0,9603,Clueless,"Comedy, Drama, Romance",1995,7.0,800.0,"puberty, high school, make a match, spoiled child, gay interest"
39.0,34615,"Cry, the Beloved Country",Drama,1995,6.5,0.0,south africa
40.0,31174,Richard III,"Drama, War",1995,7.0,0.0,"england, shakespeare, kidnapping, murder, king"
41.0,11443,Dead Presidents,"Action, Crime, Drama, History",1995,6.5,100.0,"money, loss of virginity, hiding in a dumpster, mercy killing, armored truck"
42.0,35196,Restoration,"Drama, Romance",1995,6.5,0.0,"jealousy, medicine, fountain, court, wealth"
43.0,9312,Mortal Kombat,"Action, Fantasy",1995,5.5,400.0,"martial arts, monster, island, gore, sorcerer"
44.0,577,To Die For,"Fantasy, Drama, Comedy, Thriller",1995,6.5,200.0,"adultery, winter, obsession, television, new hampshire"
45.0,11861,How To Make An American Quilt,"Drama, Romance",1995,6.5,0.0,"wedding vows, marriage proposal, married couple, monogamy, advice"
46.0,807,Se7en,"Crime, Mystery, Thriller",1995,8.0,5900.0,"self-fulfilling prophecy, detective, s.w.a.t., drug dealer, evisceration"
47.0,10530,Pocahontas,"Adventure, Animation, Drama, Family",1995,6.5,1500.0,"culture clash, settler, forbidden love, colony, musical"
48.0,8391,When Night Is Falling,"Drama, Romance",1995,6.0,0.0,"professor, lgbt, woman director"
49.0,629,The Usual Suspects,"Drama, Crime, Thriller",1995,8.0,3300.0,"law, relatives, theft, criminal, criminal mastermind"
50.0,117164,Guardian Angel,"Action, Thriller, Drama",1994,6.5,0.0,[]
51.0,11448,Mighty Aphrodite,"Comedy, Romance",1995,6.5,100.0,"prostitute, adoption, adoptive father, childlessness, looking for  birth parents"
52.0,49133,Lamerica,"Drama, Foreign",1994,7.5,0.0,independent film
53.0,26441,The Big Green,"Action, Adventure, Comedy, Family",1995,5.0,0.0,"sport, kids and family, soccer, woman director"
54.0,97406,Georgia,Drama,1995,6.0,0.0,"alcohol, artist, music, drug, band"
55.0,124057,Kids of the Round Table,[],1997,3.0,0.0,[]
56.0,9089,Home for the Holidays,"Comedy, Drama, Romance",1995,6.5,0.0,"baltimore, thanksgiving, family clan, family conflict, generations conflict"
57.0,11010,The Postman,"Comedy, Drama, Romance",1994,7.5,200.0,"island, letter, postman, fisherman, poet"
58.0,99040,The Confessional,"Thriller, Drama, Mystery",1995,6.5,0.0,[]
59.0,11359,The Indian in the Cupboard,"Adventure, Family, Fantasy",1995,6.0,100.0,"cupboard, games, puppet, parallel world, toy comes to life"
60.0,17182,Eye for an Eye,"Drama, Thriller",1996,6.0,100.0,"rape, gun, self-defense, grieving parents"
61.0,2054,Mr. Holland's Opus,"Music, Drama, Family",1995,7.0,100.0,"composer, mentor, deaf-mute, musical, apprentice"
62.0,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,1996,6.0,200.0,"date, slang, hip-hop, cousin, parody"
63.0,19760,Two If by Sea,"Comedy, Romance",1996,4.5,0.0,"island, painting, thief, seasickness"
64.0,9536,Bio-Dome,Comedy,1996,4.5,100.0,"biotope, vegetarian, pollution"
65.0,11525,Lawnmower Man 2: Beyond Cyberspace,"Action, Science Fiction",1996,3.0,0.0,"hacker, virtual reality, computer, sword fight"
66.0,40628,Two Bits,"Drama, Family",1995,5.5,0.0,[]
67.0,4482,French Twist,"Comedy, Romance",1995,6.0,0.0,"love triangle, southern france, estate agent, menage a trois, van"
68.0,10634,Friday,Comedy,1995,7.0,500.0,"rap music, parent child relationship, rapper, job"
69.0,755,From Dusk Till Dawn,"Horror, Action, Thriller, Crime",1996,7.0,1600.0,"dancing, brother brother relationship, sexual obsession, showdown, sheriff"
70.0,11859,Fair Game,"Action, Thriller, Romance",1995,4.0,0.0,"bomb, miami, sex, detective, handcuffs"
71.0,28387,Kicking and Screaming,"Comedy, Drama, Romance",1995,7.0,0.0,college
72.0,48750,Les Miserables,"Drama, History",1995,6.5,0.0,"paris, nun, boxer, lawyer, jewish"
73.0,20927,Bed of Roses,"Drama, Romance",1996,5.0,0.0,"florist, family relationships"
74.0,36929,Big Bully,"Comedy, Family",1996,4.0,0.0,bully
75.0,9102,Screamers,"Horror, Science Fiction",1995,6.0,200.0,"man vs machine, alien planet, struggle for survival"
76.0,124626,Nico Icon,Documentary,1995,7.5,0.0,[]
77.0,27526,The Crossing Guard,"Drama, Thriller",1995,6.0,100.0,"loss of daughter, hit-and-run driving , revenge, suspense, independent film"
78.0,9623,The Juror,"Drama, Thriller",1996,5.5,100.0,"jurors, blackmail, court case, son, trial"
79.0,46785,The White Balloon,"Family, Drama",1995,7.5,0.0,"fish, money, celebration, goldfish"
80.0,400,Things to Do in Denver When You're Dead,"Drama, Crime",1995,6.5,100.0,"father son relationship, bounty hunter, boat, way of life, coffin"
81.0,880,Antonia's Line,"Drama, Comedy",1995,7.0,0.0,"suicide, underdog, free love, philosophy, rape"
82.0,146599,Once Upon a Time... When We Were Colored,"Romance, Drama",1996,4.5,0.0,"racial segregation, family relationships, rural setting, african american"
83.0,188588,Last Summer in the Hamptons,[],1995,0.0,0.0,[]
84.0,8447,Angels and Insects,"Drama, Romance",1995,6.5,0.0,"class society, rich woman - poor man, scientist, naturalist, insect"
85.0,10534,White Squall,"Action, Drama",1996,6.5,100.0,"sailing trip, diary, sailing, survival, coming of age"
86.0,17414,Dunston Checks In,"Adventure, Comedy, Family",1996,5.0,100.0,"boss, fistfight, bully, orangutan, hotel manager"
87.0,13997,Black Sheep,Comedy,1996,6.0,100.0,"nitrous oxide, candid camera, double act, political satire, crooked politician"
88.0,2086,Nick of Time,"Crime, Drama, Thriller",1995,6.0,200.0,"assassination, train station, politics, los angeles"
89.0,61548,The Journey of August King,Drama,1995,6.5,0.0,[]
90.0,9095,Mary Reilly,"Drama, Horror, Thriller, Romance",1996,5.5,100.0,"servant, monster, laboratory, jekyll and hyde, housemaid"
91.0,12158,Vampire in Brooklyn,"Comedy, Horror, Romance",1995,4.5,100.0,"vampire, half vampire"
92.0,9283,Beautiful Girls,"Comedy, Drama, Romance",1996,6.5,100.0,hometown
93.0,9208,Broken Arrow,"Action, Adventure, Drama, Thriller",1996,5.5,500.0,"helicopter, river, captain, underground, mexican standoff"
