,Watched,Day,movieId,title,genres,release_date,vote_average,vote_count,keywords
0,with family,monday,4258,Scary Movie 5,Comedy,2013,4.5,800,"sequel, parody, spoof, aftercreditsstinger, duringcreditsstinger"
1,with family,monday,71880,Jack and Jill,Comedy,2011,4.0,600,duringcreditsstinger
2,with family,saturday,188207,The Legend of Hercules,"Action, Adventure",2014,4.5,500,"mythology, zeus, ancient greece, demigod, city of argos"
3,with family,tuesday,314,Catwoman,"Action, Crime",2004,4.0,800,"white russian, sex, dc comics, beauty, sexism"
4,with family,monday,263472,Knock Knock,"Drama, Thriller",2015,5.0,900,"female nudity, sex, disc jockey, infidelity, rain"
5,with family,wednesday,37169,The Human Centipede (First Sequence),Horror,2009,5.0,500,"kidnapping, surgeon, body mutilation, psychosis, body horror"
6,Alone,tuesday,403119,47 Meters Down,"Drama, Thriller, Horror, Adventure",2017,5.0,600,"diving, sister sister relationship, shark attack, cage, shark"
7,with gf,tuesday,100042,Dumb and Dumber To,Comedy,2014,5.5,1100,"friendship, sequel, road movie, buddy comedy"
8,Alone,sunday,9645,Ghost Ship,"Horror, Mystery, Thriller",2002,5.5,500,"cruise, pilot, ghost ship"
9,Alone,monday,282035,The Mummy,"Thriller, Action, Adventure",2017,5.5,2100,"monster, mummy, horror"
10,with gf,tuesday,13051,Max Payne,Action,2008,5.0,600,"assassin, based on video game, aftercreditsstinger"
11,with gf,monday,243688,Poltergeist,"Horror, Thriller",2015,5.0,900,"poltergeist, haunted house, remake, duringcreditsstinger"
12,with gf,friday,44912,Green Lantern,"Adventure, Action, Thriller, Science Fiction",2011,5.0,2600,"dc comics, transformation, superhero, alien, alien infection"
13,with gf,monday,216015,Fifty Shades of Grey,"Drama, Romance, Thriller",2015,5.0,3400,"based on novel, perversion, spanking, billionaire, bdsm"
14,with gf,saturday,210860,Mortdecai,"Comedy, Adventure",2015,5.5,1100,"based on novel, painting, debt, art dealer, stolen painting"
15,with gf,tuesday,47327,Drive Angry,"Fantasy, Thriller, Action, Crime",2011,5.5,600,"bone, car explosion, premarital sex, satanic cult, ""drivers license"""
16,Alone,friday,278924,Mechanic: Resurrection,"Action, Crime, Thriller",2016,5.5,1200,"assassin, sequel, murder, mechanic"
17,with gf,monday,19899,Couples Retreat,"Comedy, Romance",2009,5.5,600,"island, married couple, yoga, tahiti, couples therapy"
18,Alone,tuesday,1979,Fantastic 4: Rise of the Silver Surfer,"Adventure, Fantasy, Action, Thriller",2007,5.5,2600,"fire, helicopter, surfboard, mask, satellite"
19,Alone,tuesday,43074,Ghostbusters,"Action, Fantasy, Comedy",2016,5.5,2200,"female friendship, ghost hunting, reboot, ghost"
20,with family,saturday,72559,G.I. Joe: Retaliation,"Adventure, Action, Science Fiction, Thriller",2013,5.5,3000,"terror, assassin, secret, technology, missile"
21,with gf,sunday,9381,Babylon A.D.,"Action, Adventure, Science Fiction, Thriller",2008,5.5,700,"submarine, baby, secret, future, mercenary"
22,with gf,friday,124459,The Incredible Burt Wonderstone,Comedy,2013,5.5,700,"magic, las vegas"
23,Alone,friday,49524,R.I.P.D.,"Fantasy, Action, Comedy, Crime",2013,5.5,1300,"gold, police operation, partner, revenge, undead"
24,Alone,friday,271969,Ben-Hur,"Adventure, Drama, Action",2016,5.5,600,"ancient rome, betrayal, vengeance"
25,with gf,sunday,201088,Blackhat,"Crime, Drama, Mystery",2015,5.0,800,"terrorist, technology, anti hero, hacker, computer virus"
