,Watched,Date,Day,Rating,movieId,title,genres,release_date,vote_average,vote_count,keywords
0,with family,07/05/2018,monday,1,4258,Scary Movie 5,Comedy,11/04/2013,4.6,810,"sequel, parody, spoof, aftercreditsstinger, duringcreditsstinger"
1,with family,14/05/2018,monday,1,71880,Jack and Jill,Comedy,11/11/2011,4,620,duringcreditsstinger
2,with family,07/07/2018,saturday,1,188207,The Legend of Hercules,"Action, Adventure",10/01/2014,4.4,540,"mythology, zeus, ancient greece, demigod, city of argos"
3,with family,25/12/2018,tuesday,1,314,Catwoman,"Action, Crime",22/07/2004,4.2,830,"white russian, sex, dc comics, beauty, sexism"
4,with family,16/04/2018,monday,1,263472,Knock Knock,"Drama, Thriller",26/06/2015,4.9,880,"female nudity, sex, disc jockey, infidelity, rain"
5,with family,20/06/2018,wednesday,1,37169,The Human Centipede (First Sequence),Horror,26/04/2009,4.9,530,"kidnapping, surgeon, body mutilation, psychosis, body horror"
6,Alone,18/09/2018,tuesday,2,403119,47 Meters Down,"Drama, Thriller, Horror, Adventure",15/06/2017,5.1,550,"diving, sister sister relationship, shark attack, cage, shark"
7,with gf,10/04/2018,tuesday,2,100042,Dumb and Dumber To,Comedy,12/11/2014,5.4,1140,"friendship, sequel, road movie, buddy comedy"
8,Alone,16/09/2018,sunday,2,9645,Ghost Ship,"Horror, Mystery, Thriller",25/10/2002,5.3,540,"cruise, pilot, ghost ship"
9,Alone,30/04/2018,monday,2,282035,The Mummy,"Thriller, Action, Adventure",06/06/2017,5.4,2120,"monster, mummy, horror"
10,with gf,17/04/2018,tuesday,2,13051,Max Payne,Action,15/10/2008,5.2,620,"assassin, based on video game, aftercreditsstinger"
11,with gf,28/05/2018,monday,2,243688,Poltergeist,"Horror, Thriller",20/05/2015,5,920,"poltergeist, haunted house, remake, duringcreditsstinger"
12,with gf,03/08/2018,friday,2,44912,Green Lantern,"Adventure, Action, Thriller, Science Fiction",16/06/2011,5.1,2550,"dc comics, transformation, superhero, alien, alien infection"
