,Watched,Date,Day,Rating,title,budget,genres,release_date,revenue,vote_average,vote_count
384,with gf,2018-09-18,saturday,2.0,47 Meters Down,5500000,"['Drama', 'Thriller', 'Horror', 'Adventure']",2017-06-15,44235023,5.1,548
640,with gf,2018-09-16,saturday,2.0,Ghost Ship,35000000,"['Horror', 'Mystery', 'Thriller']",2002-10-25,68349884,5.3,540
768,Alone,2018-04-30,monday,2.0,The Mummy,125000000,"['Thriller', 'Action', 'Adventure']",2017-06-06,407778013,5.4,2122
3360,Alone,2018-09-07,friday,2.0,Mechanic: Resurrection,40000000,"['Action', 'Crime', 'Thriller']",2016-08-25,125729635,5.3,1236
4384,Alone,2018-06-19,tuesday,2.0,Fantastic 4: Rise of the Silver Surfer,130000000,"['Adventure', 'Fantasy', 'Action', 'Thriller']",2007-06-13,289047763,5.4,2648
4896,Alone,2019-01-29,tuesday,2.0,Ghostbusters,144000000,"['Action', 'Fantasy', 'Comedy']",2016-07-14,229147509,5.3,2203
5760,Alone,2018-08-03,friday,2.0,R.I.P.D.,130000000,"['Fantasy', 'Action', 'Comedy', 'Crime']",2013-07-18,61648500,5.4,1280
6336,Alone,2018-11-30,friday,2.0,Ben-Hur,100000000,"['Adventure', 'Drama', 'Action']",2016-08-17,94061311,5.3,642
7264,Alone,2019-02-25,monday,2.0,"10,000 BC",105000000,"['Adventure', 'Action', 'Drama', 'Fantasy']",2008-02-22,266000000,5.1,934
7680,Family,2018-12-28,friday,2.0,Race to Witch Mountain,50000000,"['Adventure', 'Family', 'Fantasy', 'Science Fiction', 'Thriller']",2009-03-12,106303988,5.4,520
7840,with gf,2018-07-01,sunday,2.0,Brüno,42000000,['Comedy'],2009-07-08,0,5.4,528
2976,Alone,2018-04-21,saturday,3.0,Big Momma's House,30000000,"['Crime', 'Comedy']",2000-05-31,173959438,5.6,514
3424,with gf,2018-10-01,saturday,3.0,The Dark Tower,60000000,"['Action', 'Western', 'Science Fiction', 'Fantasy', 'Horror']",2017-08-03,71000000,5.7,688
3936,Alone,2019-04-29,monday,3.0,Ghost in the Shell,110000000,"['Action', 'Science Fiction', 'Thriller']",2017-03-29,169801921,5.9,2547
5728,Alone,2018-05-11,friday,3.0,Transformers: Age of Extinction,210000000,"['Science Fiction', 'Action', 'Adventure']",2014-06-25,1091405097,5.8,3136
6208,Family,2018-04-15,sunday,3.0,The SpongeBob Movie: Sponge Out of Water,74000000,"['Animation', 'Adventure', 'Comedy', 'Family']",2015-02-05,311594032,5.7,733
6688,Alone,2018-08-19,sunday,3.0,Coyote Ugly,45000000,"['Comedy', 'Drama', 'Music', 'Romance']",2000-07-30,113916474,5.8,590
8608,Alone,2019-04-10,wednesday,3.0,The Twilight Saga: Breaking Dawn - Part 1,110000000,"['Adventure', 'Fantasy', 'Romance']",2011-03-15,712171856,5.8,2622
8704,Alone,2018-07-14,saturday,3.0,Planet of the Apes,100000000,"['Thriller', 'Science Fiction', 'Action', 'Adventure']",2001-07-25,362211740,5.6,1270
8928,Alone,2019-02-20,wednesday,3.0,The Monuments Men,70000000,"['War', 'Drama', 'History', 'Action']",2014-01-24,154984035,5.8,1545
288,with gf,2018-04-30,saturday,4.0,Jaws,7000000,"['Horror', 'Thriller', 'Adventure']",1975-06-18,470654000,7.5,2628
448,Family,2018-12-28,friday,4.0,Harry Potter and the Prisoner of Azkaban,130000000,"['Adventure', 'Fantasy', 'Family']",2004-05-31,789804554,7.7,6037
1024,Alone,2018-05-10,thursday,4.0,Straight Outta Compton,28000000,"['Drama', 'Music']",2015-08-13,201634991,7.7,1381
1120,Alone,2018-10-08,monday,4.0,The Blues Brothers,27000000,"['Music', 'Comedy', 'Action', 'Crime']",1980-06-17,115229890,7.5,1092
1216,Alone,2019-03-22,friday,4.0,Gifted,7000000,['Drama'],2017-04-12,37461045,7.7,549
1344,Alone,2018-10-12,friday,4.0,The King's Speech,15000000,"['Drama', 'History']",2010-09-06,414211549,7.6,2817
3040,Family,2018-05-05,saturday,4.0,How to Train Your Dragon,165000000,"['Fantasy', 'Adventure', 'Animation', 'Family']",2010-03-05,494878759,7.5,4319
3136,Alone,2018-05-30,wednesday,4.0,Manchester by the Sea,9000000,['Drama'],2016-11-18,75026965,7.5,1553
3328,Alone,2018-08-25,saturday,4.0,The Help,25000000,['Drama'],2011-08-09,124272124,7.9,1966
3520,Alone,2018-11-10,saturday,4.0,Mr. Nobody,47000000,"['Science Fiction', 'Drama', 'Romance', 'Fantasy']",2009-09-11,3547209,7.9,1616
3648,Alone,2018-12-30,sunday,4.0,The Raid 2,4500000,"['Action', 'Crime', 'Thriller']",2014-03-27,2627209,7.6,832
3744,with gf,2019-02-10,saturday,4.0,Train to Busan,8820000,"['Action', 'Horror', 'Thriller']",2016-07-20,2129768,7.7,984
3808,Alone,2019-03-05,sunday,4.0,Singin' in the Rain,2540800,"['Comedy', 'Music', 'Romance']",1952-04-10,7200000,7.9,747
4480,Alone,2019-03-11,monday,4.0,Rocky,1000000,['Drama'],1976-11-21,117235147,7.5,1843
4704,Alone,2018-11-02,friday,4.0,Star Wars: The Force Awakens,245000000,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",2015-12-15,2068223624,7.5,7993
5056,Alone,2019-01-04,friday,4.0,The Big Lebowski,15000000,"['Comedy', 'Crime']",1998-03-06,46189568,7.8,3001
5376,Alone,2018-05-29,sunday,4.0,Lawrence of Arabia,15000000,"['Adventure', 'Drama', 'History', 'War']",1962-12-10,69995385,7.8,870
